airline_sentiment,text
negative,thanks worst customer service face earth loved hr hold along w cancelled flightled flight
negative,tried reaching guy im running time patience want flight honor want confirmation
neutral,bereavement discount airfare grandfather passed need attend funeral week
negative,six hour even gate agent got fed left u line front empty desk stay classy u air
negative,lose pilot
negative,ad phone system waiting rep annoying thing ever especially waiting min
negative,missing connection due delay la supposed
negative,might cancelled flighted mechanical issue hour late flightr people still waiting zero information please send help
negative,hour agent keep waiting
negative,hard unload bag order arrival min counting flight
negative,policy tell customer cant help im sorry unacceptable
negative,thank correctly interpreting last tweet non sarcastic delaying flight yyz terminal dance party
negative,cant help dont put people hotel miss flight policy
negative,friend kphl told rep woulda gone home tried tomorrow
positive,ann marie lga best ticket agent ever excellentcustomerservice
negative,wasted day vacation problem one two plane waitinginphilly flight
negative,unacceptable way agent gate treat paying customer
neutral,mad love httptcoojrsdwpkk nyc
negative,like usdelayways another long paperwork relate flightd delay friday charlotte today philly letsgoalready
negative,customer service clt terrible flight delayed jfk hour get clt horrid customer service
negative,flight phil update supposed leave minute ago sitting airport wonderingirritated
negative,flight aircraft gate crew hour late flight destination come
negative,please someone contact regarding missing bag day online tracking show nothing
negative,delayed blue sky whyisusairalwaysdelayed
negative,ill never fly due emotional amp financial stress caused one staff member error
negative,bag
negative,thanks incurred u approximately dollar fee due staff member screw neveragain
neutral,aa gate supervisor asked superior name response received ceo americanairlines merger
negative,hr wait far customer service yes bad weather air traffic controller answer phone
neutral,aa gate supervisor emplid allowed flight aa leave jfk sj feb wo customer made final boarding call
negative,thanks bad make two day train trip look appealing
negative,got kidding info dca bgr phone line tell call back late flightr
negative,pretty ridiculous phx sky harbor employee working check sunday afternoon min amp counting
negative,really hoping dont get charged flight couldnt handle influx call bummer
negative,hold hour please help httptcotyxaztmqu
negative,promise help nvr fly wu even pay fly w sum else badcustomerservice
negative,yesterday delayed six hour wlil explanation paid lot fly wu amp u treat ur customer
